tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Liver,TGFB1,CD4_T,NL→IT,NL,IT,1.6182704,1.4233252,-12.0,↓,0.484848,NS,23/36,6,6
Liver,TGFB1,CD4_T,NL→IA,NL,IA,1.6182704,1.6312605,0.800000011920929,↑,0.792208,NS,17/30,6,5
Liver,TGFB1,CD4_T,NL→AR,NL,AR,1.6182704,1.3828769,-14.5,↓,0.547619,NS,12/18,6,3
Liver,TGFB1,CD4_T,NL→CR,NL,CR,1.6182704,0.982405,-39.29999923706055,↓,0.095238,†,16/18,6,3
Liver,TGFB1,CD4_T,IT→IA,IT,IA,1.4233252,1.6312605,14.600000381469728,↑,0.662338,NS,18/30,6,5
Liver,TGFB1,CD4_T,IA→AR,IA,AR,1.6312605,1.3828769,-15.199999809265137,↓,0.571429,NS,10/15,5,3
Liver,TGFB1,CD4_T,CR→AR,CR,AR,0.982405,1.3828769,40.79999923706055,↑,0.7,NS,6/9,3,3
Liver,TGFB1,CD8_T,NL→IT,NL,IT,1.7462553,1.5561415,-10.899999618530272,↓,0.309524,NS,25/36,6,6
Liver,TGFB1,CD8_T,NL→IA,NL,IA,1.7462553,1.7200692,-1.5,↓,1.0,NS,15/30,6,5
Liver,TGFB1,CD8_T,NL→AR,NL,AR,1.7462553,1.4450747,-17.200000762939453,↓,0.380952,NS,13/18,6,3
Liver,TGFB1,CD8_T,NL→CR,NL,CR,1.7462553,1.0700155,-38.70000076293945,↓,0.166667,NS,15/18,6,3
Liver,TGFB1,CD8_T,IT→IA,IT,IA,1.5561415,1.7200692,10.5,↑,0.662338,NS,18/30,6,5
Liver,TGFB1,CD8_T,IA→AR,IA,AR,1.7200692,1.4450747,-16.0,↓,0.571429,NS,10/15,5,3
Liver,TGFB1,CD8_T,CR→AR,CR,AR,1.0700155,1.4450747,35.099998474121094,↑,0.7,NS,6/9,3,3
Liver,TGFB1,NK,NL→IT,NL,IT,1.826101,1.8898643,3.5,↑,0.818182,NS,20/36,6,6
Liver,TGFB1,NK,NL→IA,NL,IA,1.826101,2.0792282,13.899999618530272,↑,0.536797,NS,19/30,6,5
Liver,TGFB1,NK,NL→AR,NL,AR,1.826101,1.7747984,-2.799999952316284,↓,0.904762,NS,10/18,6,3
Liver,TGFB1,NK,NL→CR,NL,CR,1.826101,1.2779485,-30.0,↓,0.166667,NS,15/18,6,3
Liver,TGFB1,NK,IT→IA,IT,IA,1.8898643,2.0792282,10.0,↑,0.536797,NS,19/30,6,5
Liver,TGFB1,NK,IA→AR,IA,AR,2.0792282,1.7747984,-14.600000381469728,↓,0.392857,NS,11/15,5,3
Liver,TGFB1,NK,CR→AR,CR,AR,1.2779485,1.7747984,38.900001525878906,↑,0.4,NS,7/9,3,3
Liver,TGFB1,B,NL→IT,NL,IT,0.78106636,0.94330627,20.799999237060547,↑,0.792208,NS,17/30,6,5
Liver,TGFB1,B,NL→IA,NL,IA,0.78106636,1.1027807,41.20000076293945,↑,0.428571,NS,20/30,6,5
Liver,TGFB1,B,NL→AR,NL,AR,0.78106636,0.7793916,-0.2000000029802322,↓,0.904762,NS,10/18,6,3
Liver,TGFB1,B,NL→CR,NL,CR,0.78106636,0.49721602,-36.29999923706055,↓,0.166667,NS,15/18,6,3
Liver,TGFB1,B,IT→IA,IT,IA,0.94330627,1.1027807,16.899999618530273,↑,0.84127,NS,14/25,5,5
Liver,TGFB1,B,IA→AR,IA,AR,1.1027807,0.7793916,-29.299999237060547,↓,0.785714,NS,9/15,5,3
Liver,TGFB1,B,CR→AR,CR,AR,0.49721602,0.7793916,56.79999923706055,↑,1.0,NS,5/9,3,3
Liver,TGFB1,PlasmaB,NL→IT,NL,IT,0.59322613,0.88510704,49.20000076293945,↑,0.082251,†,25/30,6,5
Liver,TGFB1,PlasmaB,NL→IA,NL,IA,0.59322613,1.2166469,105.0999984741211,↑,0.177489,NS,23/30,6,5
Liver,TGFB1,PlasmaB,NL→AR,NL,AR,0.59322613,0.88257486,48.79999923706055,↑,0.095238,†,16/18,6,3
Liver,TGFB1,PlasmaB,NL→CR,NL,CR,0.59322613,0.65557736,10.5,↑,1.0,NS,9/18,6,3
Liver,TGFB1,PlasmaB,IT→IA,IT,IA,0.88510704,1.2166469,37.5,↑,0.690476,NS,15/25,5,5
Liver,TGFB1,PlasmaB,IA→AR,IA,AR,1.2166469,0.88257486,-27.5,↓,0.785714,NS,9/15,5,3
Liver,TGFB1,PlasmaB,CR→AR,CR,AR,0.65557736,0.88257486,34.599998474121094,↑,0.4,NS,7/9,3,3
Liver,TGFB2,Myeloid,NL→IT,NL,IT,0.0,0.0006229552,99999.0,↑,0.404657,NS,6/36,6,6
Liver,TGFB2,Myeloid,NL→IA,NL,IA,0.0,0.0012883622,99999.0,↑,0.36131,NS,6/30,6,5
Liver,TGFB2,Myeloid,NL→AR,NL,AR,0.0,0.0,0.0,↑,1.0,NS,0/18,6,3
Liver,TGFB2,Myeloid,NL→CR,NL,CR,0.0,0.0064683766,99999.0,↑,0.05183,†,12/18,6,3
Liver,TGFB2,Myeloid,IT→IA,IT,IA,0.0006229552,0.0012883622,106.8000030517578,↑,0.892295,NS,6/30,6,5
Liver,TGFB2,Myeloid,IA→AR,IA,AR,0.0012883622,0.0,-100.0,↓,0.605577,NS,3/15,5,3
Liver,TGFB2,Myeloid,CR→AR,CR,AR,0.0064683766,0.0,-100.0,↓,0.196706,NS,6/9,3,3
Liver,TGFB2,CD4_T,NL→IT,NL,IT,5.741965e-05,0.00014739741,156.6999969482422,↑,1.0,NS,6/36,6,6
Liver,TGFB2,CD4_T,NL→IA,NL,IA,5.741965e-05,0.00026738996,365.7000122070313,↑,0.892295,NS,6/30,6,5
Liver,TGFB2,CD4_T,NL→AR,NL,AR,5.741965e-05,0.0,-100.0,↓,0.637352,NS,3/18,6,3
Liver,TGFB2,CD4_T,NL→CR,NL,CR,5.741965e-05,0.0,-100.0,↓,0.637352,NS,3/18,6,3
Liver,TGFB2,CD4_T,IT→IA,IT,IA,0.00014739741,0.00026738996,81.4000015258789,↑,0.892295,NS,6/30,6,5
Liver,TGFB2,CD4_T,IA→AR,IA,AR,0.00026738996,0.0,-100.0,↓,0.605577,NS,3/15,5,3
Liver,TGFB2,CD4_T,CR→AR,CR,AR,0.0,0.0,0.0,↑,1.0,NS,0/9,3,3
Liver,TGFB2,CD8_T,NL→IT,NL,IT,0.0003284183,0.00056047377,70.69999694824219,↑,0.752554,NS,6/36,6,6
Liver,TGFB2,CD8_T,NL→IA,NL,IA,0.0003284183,0.00010541803,-67.9000015258789,↓,0.56156,NS,10/30,6,5
Liver,TGFB2,CD8_T,NL→AR,NL,AR,0.0003284183,0.0,-100.0,↓,0.376759,NS,6/18,6,3
Liver,TGFB2,CD8_T,NL→CR,NL,CR,0.0003284183,0.00022022292,-32.900001525878906,↓,0.878088,NS,6/18,6,3
Liver,TGFB2,CD8_T,IT→IA,IT,IA,0.00056047377,0.00010541803,-81.19999694824219,↓,1.0,NS,5/30,6,5
Liver,TGFB2,CD8_T,IA→AR,IA,AR,0.00010541803,0.0,-100.0,↓,0.605577,NS,3/15,5,3
Liver,TGFB2,CD8_T,CR→AR,CR,AR,0.00022022292,0.0,-100.0,↓,0.504985,NS,3/9,3,3
Liver,TGFB2,NK,NL→IT,NL,IT,0.0,0.0,0.0,↑,1.0,NS,0/36,6,6
Liver,TGFB2,NK,NL→IA,NL,IA,0.0,0.0,0.0,↑,1.0,NS,0/30,6,5
Liver,TGFB2,NK,NL→AR,NL,AR,0.0,0.0006162219,99999.0,↑,0.238593,NS,6/18,6,3
Liver,TGFB2,NK,NL→CR,NL,CR,0.0,0.0,0.0,↑,1.0,NS,0/18,6,3
Liver,TGFB2,NK,IT→IA,IT,IA,0.0,0.0,0.0,↑,1.0,NS,0/30,6,5
Liver,TGFB2,NK,IA→AR,IA,AR,0.0,0.0006162219,99999.0,↑,0.3017,NS,5/15,5,3
Liver,TGFB2,NK,CR→AR,CR,AR,0.0,0.0006162219,99999.0,↑,0.504985,NS,3/9,3,3
Liver,TGFB2,B,NL→IT,NL,IT,0.013507481,0.0012316526,-90.9000015258789,↓,0.341314,NS,14/30,6,5
Liver,TGFB2,B,NL→IA,NL,IA,0.013507481,0.006702212,-50.400001525878906,↓,0.459233,NS,13/30,6,5
Liver,TGFB2,B,NL→AR,NL,AR,0.013507481,0.015448421,14.399999618530272,↑,0.589639,NS,10/18,6,3
Liver,TGFB2,B,NL→CR,NL,CR,0.013507481,0.006095207,-54.900001525878906,↓,1.0,NS,7/18,6,3
Liver,TGFB2,B,IT→IA,IT,IA,0.0012316526,0.006702212,444.2000122070313,↑,1.0,NS,5/25,5,5
