tissue,lineage,gene1,gene2,rho,p_value,sig,n,q_global,q_stratified
Liver,Myeloid,ATM,TGFBR1,0.075,0.733182,NS,23,0.8792403323975295,0.921634863878327
Liver,Myeloid,ATM,TGFBR2,0.147,0.502605,NS,23,0.7380786313254853,0.8093842281553398
Liver,Myeloid,ATM,TIGIT,0.167,0.445441,NS,23,0.7005487904279648,0.785662626198083
Liver,Myeloid,ATM,TOX,0.449,0.031495,*,23,0.15822448875523012,0.27692146276595747
Liver,Myeloid,ATM,TOX2,0.328,0.125939,NS,23,0.3605270035618878,0.49848231818181815
Liver,Myeloid,ATM,TYROBP,-0.229,0.292697,NS,23,0.568496822060459,0.6962483568345323
Liver,Myeloid,B2M,BAK1,0.389,0.066321,†,23,0.24938201820317088,0.38338120833333333
Liver,Myeloid,B2M,BCL6,-0.1,0.651307,NS,23,0.8371643768901378,0.8867443240360952
Liver,Myeloid,B2M,CASP1,0.113,0.608827,NS,23,0.8091167248772392,0.8638549622317596
Liver,Myeloid,B2M,CD27,-0.05,0.820919,NS,23,0.9215072402126913,0.9562925348837208
Liver,Myeloid,B2M,CD44,-0.026,0.907367,NS,23,0.9627963235017951,0.9758475283018868
Liver,Myeloid,B2M,CD74,0.162,0.460057,NS,23,0.7107482932850824,0.7882322886386899
Liver,Myeloid,B2M,CTLA4,0.252,0.245576,NS,23,0.5186062327216789,0.6362650909090909
Liver,Myeloid,B2M,DNMT1,0.155,0.479676,NS,23,0.724511017847315,0.7976905714285715
Liver,Myeloid,B2M,DNMT3A,0.093,0.673664,NS,23,0.8488501813258515,0.8922809230769231
Liver,Myeloid,B2M,FCER1G,-0.023,0.918018,NS,23,0.967201947024952,0.9815548214747736
Liver,Myeloid,B2M,GZMB,0.135,0.539055,NS,23,0.7644524102677583,0.8237419473684211
Liver,Myeloid,B2M,HLA-DPA1,0.37,0.082637,†,23,0.2846583121750045,0.4177338256880734
Liver,Myeloid,B2M,HLA-DPB1,0.229,0.292697,NS,23,0.568496822060459,0.6962483568345323
Liver,Myeloid,B2M,HLA-DRA,0.294,0.172591,NS,23,0.4295991211023418,0.5730366807228915
Liver,Myeloid,B2M,HLA-DRB1,0.215,0.323576,NS,23,0.5973705311358831,0.7114274601063829
Liver,Myeloid,B2M,IL1B,0.023,0.918018,NS,23,0.967201947024952,0.9815548214747736
Liver,Myeloid,B2M,IL1RN,-0.169,0.440403,NS,23,0.6970699491358024,0.785662626198083
Liver,Myeloid,B2M,IL2RA,0.144,0.513501,NS,23,0.7460721199426329,0.8111707641509434
