Gene,Lineage,Tissue,NL->IT,NL->IA,NL->CR,NL->AR
IGHG1,PlasmaB,Liver,-1% p=0.931,*-64% p=0.017,-31% p=0.381,-52% p=0.167
IGHG2,PlasmaB,Liver,-50% p=0.126,*-83% p=0.021,-64% p=0.167,*-90% p=0.048
IGHG4,B,Blood,*+488% p=0.020,*+379% p=0.034,+11% p=0.541,*+451% p=0.033
IGHJ2,PlasmaB,Blood,from_zero p=0.424,*from_zero p=0.042,(t)from_zero p=0.079,(t)from_zero p=0.079
IGHJ3,PlasmaB,Blood,(t)from_zero p=0.072,from_zero p=0.371,*from_zero p=0.017,(t)from_zero p=0.079
IGHJ3,B,Blood,+994% p=0.158,(t)+1107% p=0.081,*+746% p=0.026,+999% p=0.305
IGHJ5,PlasmaB,Liver,-3% p=0.583,*-98% p=0.028,-73% p=0.300,-68% p=0.604
IGHJ5,PlasmaB,Blood,+316% p=0.441,+1197% p=0.867,+229% p=0.305,*+2575% p=0.026
IGHJ6,B,Blood,*+271% p=0.035,+42% p=0.798,+95% p=0.359,+114% p=0.359
IGHMBP2,B,Blood,*+167% p=0.036,*+153% p=0.036,+141% p=0.134,(t)+276% p=0.072
IGHV1-17,B,Blood,*+609% p=0.031,+65% p=0.348,+136% p=0.204,+292% p=0.112
IGHV1-18,PlasmaB,Liver,*-90% p=0.044,*-100% p=0.028,-47% p=0.511,-67% p=0.300
IGHV1-69,B,Blood,+126% p=0.204,+256% p=0.262,*+314% p=0.033,-40% p=0.760
IGHV2-70D,B,Blood,*+825% p=0.031,+715% p=0.140,+26% p=0.204,-100% p=0.606
IGHV3-20,PlasmaB,Blood,+1864% p=0.607,+592% p=0.140,*+1539% p=0.026,*+1827% p=0.026
IGHV3-22,B,Blood,*+1573% p=0.018,+727% p=0.140,+321% p=0.112,+614% p=0.172
IGHV3-41,PlasmaB,Blood,from_zero p=0.424,-0% p=1.000,from_zero p=0.302,*from_zero p=0.017
IGHV3-64,PlasmaB,Liver,(t)-99% p=0.091,*-100% p=0.045,-100% p=0.120,-100% p=0.120
IGHV3-64,B,Blood,*+370% p=0.035,+243% p=0.443,(t)+208% p=0.067,+149% p=0.222
IGHV3-64D,PlasmaB,Liver,*-100% p=0.045,(t)-98% p=0.091,-94% p=0.225,-100% p=0.120
IGHV3-7,PlasmaB,Liver,*-80% p=0.035,*-82% p=0.035,*-88% p=0.048,*-99% p=0.028
IGHV3-7,B,Blood,+103% p=0.151,+61% p=0.413,+68% p=0.571,*+144% p=0.036
IGHV4-34,PlasmaB,Liver,-46% p=0.234,(t)-77% p=0.053,-53% p=0.243,*-97% p=0.028
IGHV4-4,PlasmaB,Blood,*-85% p=0.008,*-82% p=0.016,*-93% p=0.036,*-88% p=0.036
IGHV5-51,B,Blood,+34% p=0.548,+44% p=0.286,*+77% p=0.036,+19% p=1.000
IGHV5-78,B,Blood,*+91% p=0.016,+54% p=0.286,+10% p=1.000,+65% p=0.143
IGHV6-1,PlasmaB,Liver,*-95% p=0.008,-38% p=0.410,*-94% p=0.028,(t)-90% p=0.052
IGHV6-1,PlasmaB,Blood,*-87% p=0.008,-53% p=0.111,*-71% p=0.036,(t)-56% p=0.071
IGHV6-1,B,Blood,*+159% p=0.036,+17% p=1.000,+41% p=1.000,+93% p=0.230
IGHVIII-11-1,B,Blood,*+785% p=0.045,+126% p=0.467,+340% p=0.305,+815% p=0.696
IGHVIII-2-1,B,Blood,from_zero p=0.424,from_zero p=0.371,*from_zero p=0.017,from_zero p=0.302
IGKC,PlasmaB,Blood,-30% p=0.222,-36% p=0.286,*-45% p=0.036,-22% p=0.393
IGKV1-13,PlasmaB,Blood,+303% p=0.607,+180% p=0.467,+620% p=0.172,*+864% p=0.026
IGKV1-33,PlasmaB,Blood,from_zero p=0.180,from_zero p=0.131,(t)from_zero p=0.079,*from_zero p=0.017
IGKV1-8,PlasmaB,Blood,from_zero p=0.424,*from_zero p=0.042,(t)from_zero p=0.079,from_zero p=0.302
IGKV1-8,B,Blood,*+370% p=0.020,*+388% p=0.018,*+424% p=0.033,(t)+244% p=0.067
IGKV1D-12,PlasmaB,Liver,-59% p=0.513,*-100% p=0.045,+59% p=0.893,-19% p=0.694
IGKV1D-12,B,Liver,*from_zero p=0.048,*from_zero p=0.048,from_zero p=0.239,from_zero p=0.239
IGKV1D-12,B,Blood,*from_zero p=0.025,*from_zero p=0.042,*from_zero p=0.017,*from_zero p=0.017
IGKV1D-13,PlasmaB,Liver,-27% p=0.645,*-100% p=0.045,+34% p=0.895,-14% p=0.895
IGKV1D-13,PlasmaB,Blood,*from_zero p=0.025,*from_zero p=0.042,*from_zero p=0.017,*from_zero p=0.017
IGKV1D-17,B,Liver,*from_zero p=0.048,from_zero p=0.361,(t)from_zero p=0.052,(t)from_zero p=0.052
IGKV1D-39,PlasmaB,Liver,(t)-73% p=0.100,*-86% p=0.040,-62% p=0.381,-82% p=0.149
IGKV1D-8,PlasmaB,Blood,(t)from_zero p=0.072,*from_zero p=0.042,*from_zero p=0.017,(t)from_zero p=0.079
IGKV1D-8,B,Liver,+551% p=0.353,*+781% p=0.046,*+1256% p=0.016,+253% p=0.596
IGKV1D-8,B,Blood,+124% p=0.142,+189% p=0.171,*+276% p=0.036,*+330% p=0.036
IGKV1OR2-108,B,Blood,(t)+245% p=0.057,+368% p=0.306,+33% p=0.541,*+711% p=0.033
IGKV2-26,B,Liver,+4380% p=0.113,*+2108% p=0.029,+2350% p=0.125,+2044% p=0.596
IGKV2-29,B,Blood,-11% p=0.548,-50% p=0.111,-31% p=0.393,*-58% p=0.036
IGKV2-30,PlasmaB,Liver,*-73% p=0.009,*-92% p=0.007,*-80% p=0.024,*-84% p=0.028
IGKV2D-26,B,Blood,+254% p=0.181,*+764% p=0.030,+212% p=0.204,+323% p=0.112
IGKV2D-30,PlasmaB,Liver,*-73% p=0.017,*-92% p=0.012,*-80% p=0.024,*-88% p=0.028
IGKV2D-30,B,Liver,+199% p=0.104,*+247% p=0.050,+134% p=0.479,+187% p=0.878
IGKV2OR22-3,B,Blood,-0% p=1.000,-0% p=1.000,*from_zero p=0.017,-0% p=1.000
IGKV2OR22-4,B,Blood,from_zero p=0.180,*from_zero p=0.042,*from_zero p=0.017,(t)from_zero p=0.079
IGKV3-20,B,Blood,-2% p=0.421,-12% p=0.413,*-28% p=0.036,-7% p=0.571
IGKV3D-11,PlasmaB,Liver,-41% p=0.519,*-100% p=0.045,+2% p=1.000,-39% p=0.686
