tissue,lineage,pathway,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Liver,Myeloid,cancer_associated,IT→IA,IT,IA,0.04202,0.015486,-63.1,↓,0.095238,†,21/25,5,5,0.5523804
Liver,Myeloid,cancer_associated,IA→AR,IA,AR,0.015486,0.032065,107.1,↑,0.453356,NS,10/15,5,3,0.82170775
Liver,Myeloid,cancer_associated,CR→AR,CR,AR,0.022241,0.032065,44.2,↑,0.7,NS,6/9,3,3,1.0
Liver,CD4_T,cancer_associated,NL→IT,NL,IT,0.008282,0.007599,-8.3,↓,1.0,NS,18/36,6,6,1.0
Liver,CD4_T,cancer_associated,NL→IA,NL,IA,0.008282,0.010976,32.5,↑,0.662338,NS,18/30,6,5,0.8730819090909091
Liver,CD4_T,cancer_associated,NL→AR,NL,AR,0.008282,0.006544,-21.0,↓,0.166667,NS,15/18,6,3,0.6904775714285715
Liver,CD4_T,cancer_associated,NL→CR,NL,CR,0.008282,0.008396,1.4,↑,0.904762,NS,8/18,6,3,1.0
Liver,CD4_T,cancer_associated,IT→IA,IT,IA,0.007599,0.010976,44.4,↑,0.536797,NS,19/30,6,5,0.9189612800000001
Liver,CD4_T,cancer_associated,IA→AR,IA,AR,0.010976,0.006544,-40.4,↓,0.142857,NS,13/15,5,3,0.9114282400000001
Liver,CD4_T,cancer_associated,CR→AR,CR,AR,0.008396,0.006544,-22.1,↓,0.1,NS,9/9,3,3,1.0
Liver,CD8_T,cancer_associated,NL→IT,NL,IT,0.008593,0.011268,31.1,↑,0.937229,NS,17/36,6,6,0.937229
Liver,CD8_T,cancer_associated,NL→IA,NL,IA,0.008593,0.01179,37.2,↑,0.930736,NS,14/30,6,5,1.0
Liver,CD8_T,cancer_associated,NL→AR,NL,AR,0.008593,0.006135,-28.6,↓,0.095238,†,16/18,6,3,0.2761902
Liver,CD8_T,cancer_associated,NL→CR,NL,CR,0.008593,0.006583,-23.4,↓,0.261905,NS,14/18,6,3,0.4747028125
Liver,CD8_T,cancer_associated,IT→IA,IT,IA,0.011268,0.01179,4.6,↑,1.0,NS,15/30,6,5,1.0
Liver,CD8_T,cancer_associated,IA→AR,IA,AR,0.01179,0.006135,-48.0,↓,0.25,NS,12/15,5,3,0.8285720499999999
Liver,CD8_T,cancer_associated,CR→AR,CR,AR,0.006583,0.006135,-6.8,↓,1.0,NS,5/9,3,3,1.0
Liver,NK,cancer_associated,NL→IT,NL,IT,0.009812,0.01572,60.2,↑,0.177489,NS,23/30,6,5,0.7767849375
Liver,NK,cancer_associated,NL→IA,NL,IA,0.009812,0.012647,28.9,↑,0.329004,NS,21/30,6,5,0.9996794074074075
Liver,NK,cancer_associated,NL→AR,NL,AR,0.009812,0.006464,-34.1,↓,0.547619,NS,12/18,6,3,1.0
Liver,NK,cancer_associated,NL→CR,NL,CR,0.009812,0.01661,69.3,↑,0.261905,NS,14/18,6,3,0.849816
Liver,NK,cancer_associated,IT→IA,IT,IA,0.01572,0.012647,-19.5,↓,0.84127,NS,14/25,5,5,1.0
Liver,NK,cancer_associated,IA→AR,IA,AR,0.012647,0.006464,-48.9,↓,0.25,NS,12/15,5,3,0.9494044166666668
Liver,NK,cancer_associated,CR→AR,CR,AR,0.01661,0.006464,-61.1,↓,0.4,NS,7/9,3,3,1.0
Liver,B,cancer_associated,NL→IT,NL,IT,0.017489,0.01391,-20.5,↓,1.0,NS,15/30,6,5,1.0
Liver,B,cancer_associated,NL→IA,NL,IA,0.017489,0.014037,-19.7,↓,1.0,NS,15/30,6,5,1.0
Liver,B,cancer_associated,NL→AR,NL,AR,0.017489,0.006762,-61.3,↓,0.261905,NS,14/18,6,3,1.0
Liver,B,cancer_associated,NL→CR,NL,CR,0.017489,0.016959,-3.0,↓,1.0,NS,9/18,6,3,1.0
Liver,B,cancer_associated,IT→IA,IT,IA,0.01391,0.014037,0.9,↑,0.690476,NS,10/25,5,5,0.8706001739130435
Liver,B,cancer_associated,IA→AR,IA,AR,0.014037,0.006762,-51.8,↓,0.071429,†,14/15,5,3,0.6904803333333334
Liver,B,cancer_associated,CR→AR,CR,AR,0.016959,0.006762,-60.1,↓,0.4,NS,7/9,3,3,1.0
Liver,PlasmaB,cancer_associated,NL→IT,NL,IT,0.020049,0.005238,-73.9,↓,0.092601,†,23/30,6,5,0.4965048571428571
Liver,PlasmaB,cancer_associated,NL→IA,NL,IA,0.020049,0.019669,-1.9,↓,0.854805,NS,16/30,6,5,0.930736
Liver,PlasmaB,cancer_associated,NL→AR,NL,AR,0.020049,0.000668,-96.7,↓,0.17981,NS,10/12,6,2,0.6904755
Liver,PlasmaB,cancer_associated,NL→CR,NL,CR,0.020049,0.001666,-91.7,↓,0.119782,NS,15/18,6,3,0.6904768181818182
Liver,PlasmaB,cancer_associated,IT→IA,IT,IA,0.005238,0.019669,275.5,↑,0.161238,NS,18/25,5,5,1.0
Liver,PlasmaB,cancer_associated,IA→AR,IA,AR,0.019669,0.000668,-96.6,↓,0.241032,NS,8/10,5,2,0.849816
Liver,PlasmaB,cancer_associated,CR→AR,CR,AR,0.001666,0.000668,-59.9,↓,0.553617,NS,4/6,3,2,1.0
Liver,Myeloid,cell_cycle,NL→IT,NL,IT,0.066001,0.085732,29.9,↑,0.030303,*,27/30,6,5,0.22653557142857142
Liver,Myeloid,cell_cycle,NL→IA,NL,IA,0.066001,0.056651,-14.2,↓,0.536797,NS,19/30,6,5,0.914657238095238
Liver,Myeloid,cell_cycle,NL→AR,NL,AR,0.066001,0.084265,27.7,↑,0.095238,†,16/18,6,3,0.39455742857142856
Liver,Myeloid,cell_cycle,NL→CR,NL,CR,0.066001,0.059775,-9.4,↓,0.904762,NS,10/18,6,3,1.0
Liver,Myeloid,cell_cycle,IT→IA,IT,IA,0.085732,0.056651,-33.9,↓,0.055556,†,22/25,5,5,0.5523804
Liver,Myeloid,cell_cycle,IA→AR,IA,AR,0.056651,0.084265,48.7,↑,0.142857,NS,13/15,5,3,0.725
Liver,Myeloid,cell_cycle,CR→AR,CR,AR,0.059775,0.084265,41.0,↑,0.1,NS,9/9,3,3,0.58
Liver,CD4_T,cell_cycle,NL→IT,NL,IT,0.055463,0.050209,-9.5,↓,0.093074,†,29/36,6,6,0.6381691666666668
Liver,CD4_T,cell_cycle,NL→IA,NL,IA,0.055463,0.047852,-13.7,↓,0.536797,NS,19/30,6,5,0.77835565
Liver,CD4_T,cell_cycle,NL→AR,NL,AR,0.055463,0.040122,-27.7,↓,0.047619,*,17/18,6,3,0.46031700000000003
Liver,CD4_T,cell_cycle,NL→CR,NL,CR,0.055463,0.046076,-16.9,↓,0.095238,†,16/18,6,3,0.5523804
Liver,CD4_T,cell_cycle,IT→IA,IT,IA,0.050209,0.047852,-4.7,↓,0.792208,NS,17/30,6,5,0.9189612800000001
Liver,CD4_T,cell_cycle,IA→AR,IA,AR,0.047852,0.040122,-16.2,↓,0.571429,NS,10/15,5,3,0.9114282400000001
Liver,CD4_T,cell_cycle,CR→AR,CR,AR,0.046076,0.040122,-12.9,↓,0.4,NS,7/9,3,3,1.0
Liver,CD8_T,cell_cycle,NL→IT,NL,IT,0.052301,0.048144,-7.9,↓,0.484848,NS,23/36,6,6,0.7030295999999999
Liver,CD8_T,cell_cycle,NL→IA,NL,IA,0.052301,0.042043,-19.6,↓,0.177489,NS,23/30,6,5,0.571909
Liver,CD8_T,cell_cycle,NL→AR,NL,AR,0.052301,0.03619,-30.8,↓,0.02381,*,18/18,6,3,0.2761902
Liver,CD8_T,cell_cycle,NL→CR,NL,CR,0.052301,0.038623,-26.2,↓,0.02381,*,18/18,6,3,0.2761902
Liver,CD8_T,cell_cycle,IT→IA,IT,IA,0.048144,0.042043,-12.7,↓,0.662338,NS,18/30,6,5,0.914657238095238
Liver,CD8_T,cell_cycle,IA→AR,IA,AR,0.042043,0.03619,-13.9,↓,0.571429,NS,10/15,5,3,0.8285720499999999
Liver,CD8_T,cell_cycle,CR→AR,CR,AR,0.038623,0.03619,-6.3,↓,0.7,NS,6/9,3,3,1.0
Liver,NK,cell_cycle,NL→IT,NL,IT,0.039924,0.042068,5.4,↑,0.536797,NS,19/30,6,5,0.8003250833333333
Liver,NK,cell_cycle,NL→IA,NL,IA,0.039924,0.039661,-0.7,↓,0.662338,NS,12/30,6,5,0.9996794074074075
Liver,NK,cell_cycle,NL→AR,NL,AR,0.039924,0.036643,-8.2,↓,0.714286,NS,11/18,6,3,1.0
Liver,NK,cell_cycle,NL→CR,NL,CR,0.039924,0.03784,-5.2,↓,0.904762,NS,10/18,6,3,0.9370749285714285
Liver,NK,cell_cycle,IT→IA,IT,IA,0.042068,0.039661,-5.7,↓,1.0,NS,12/25,5,5,1.0
Liver,NK,cell_cycle,IA→AR,IA,AR,0.039661,0.036643,-7.6,↓,0.392857,NS,11/15,5,3,0.9494044166666668
Liver,NK,cell_cycle,CR→AR,CR,AR,0.03784,0.036643,-3.2,↓,1.0,NS,5/9,3,3,1.0
Liver,B,cell_cycle,NL→IT,NL,IT,0.058969,0.090542,53.5,↑,0.017316,*,28/30,6,5,0.251082
Liver,B,cell_cycle,NL→IA,NL,IA,0.058969,0.062313,5.7,↑,1.0,NS,15/30,6,5,1.0
Liver,B,cell_cycle,NL→AR,NL,AR,0.058969,0.057518,-2.5,↓,0.380952,NS,13/18,6,3,1.0
Liver,B,cell_cycle,NL→CR,NL,CR,0.058969,0.060755,3.0,↑,0.547619,NS,6/18,6,3,0.8358395263157895
Liver,B,cell_cycle,IT→IA,IT,IA,0.090542,0.062313,-31.2,↓,0.095238,†,21/25,5,5,0.4373026
