tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Liver,ATM,CD4_T,NL→AR,NL,AR,0.31498477,0.40027463,27.100000381469727,↑,0.095238,†,16/18,6,3,0.6016272195121951
Liver,ATM,CD4_T,NL→CR,NL,CR,0.31498477,0.4071032,29.200000762939453,↑,0.095238,†,16/18,6,3,0.5034008571428571
Liver,ATM,CD4_T,IT→IA,IT,IA,0.39401683,0.3815118,-3.200000047683716,↓,0.662338,NS,18/30,6,5,1.0
Liver,ATM,CD4_T,IA→AR,IA,AR,0.3815118,0.40027463,4.900000095367432,↑,0.785714,NS,9/15,5,3,1.0
Liver,ATM,CD4_T,CR→AR,CR,AR,0.4071032,0.40027463,-1.7000000476837158,↓,1.0,NS,4/9,3,3,1.0
Liver,ATM,CD8_T,NL→IT,NL,IT,0.34689617,0.40311608,16.200000762939453,↑,0.132035,NS,28/36,6,6,0.5142415789473685
Liver,ATM,CD8_T,NL→IA,NL,IA,0.34689617,0.400423,15.399999618530272,↑,0.329004,NS,21/30,6,5,0.6894403043478261
Liver,ATM,CD8_T,NL→AR,NL,AR,0.34689617,0.4455068,28.39999961853028,↑,0.166667,NS,15/18,6,3,0.5138899166666666
Liver,ATM,CD8_T,NL→CR,NL,CR,0.34689617,0.45891047,32.29999923706055,↑,0.095238,†,16/18,6,3,0.5220453333333334
Liver,ATM,CD8_T,IT→IA,IT,IA,0.40311608,0.400423,-0.699999988079071,↓,0.930736,NS,16/30,6,5,1.0
Liver,ATM,CD8_T,IA→AR,IA,AR,0.400423,0.4455068,11.300000190734863,↑,0.571429,NS,10/15,5,3,1.0
Liver,ATM,CD8_T,CR→AR,CR,AR,0.45891047,0.4455068,-2.900000095367432,↓,1.0,NS,5/9,3,3,1.0
Liver,ATM,NK,NL→IT,NL,IT,0.39411807,0.5365345,36.09999847412109,↑,0.132035,NS,28/36,6,6,0.8992825333333333
Liver,ATM,NK,NL→IA,NL,IA,0.39411807,0.4333366,10.0,↑,0.792208,NS,17/30,6,5,0.9852670924369749
Liver,ATM,NK,NL→AR,NL,AR,0.39411807,0.57011515,44.70000076293945,↑,0.02381,*,18/18,6,3,0.5873133333333334
Liver,ATM,NK,NL→CR,NL,CR,0.39411807,0.54412985,38.09999847412109,↑,0.166667,NS,15/18,6,3,0.7047633142857144
Liver,ATM,NK,IT→IA,IT,IA,0.5365345,0.4333366,-19.200000762939453,↓,0.428571,NS,20/30,6,5,1.0
Liver,ATM,NK,IA→AR,IA,AR,0.4333366,0.57011515,31.600000381469727,↑,0.25,NS,12/15,5,3,1.0
Liver,ATM,NK,CR→AR,CR,AR,0.54412985,0.57011515,4.800000190734863,↑,0.7,NS,6/9,3,3,0.9773584905660376
Liver,ATM,B,NL→IT,NL,IT,0.31534544,0.4536128,43.79999923706055,↑,0.177489,NS,23/30,6,5,0.9729026666666667
Liver,ATM,B,NL→IA,NL,IA,0.31534544,0.35338002,12.100000381469728,↑,0.246753,NS,22/30,6,5,0.73038888
