tissue,lineage,pathway,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Blood,CD4_T,cancer_associated,NL→IT,NL,IT,0.02649,0.021864,-17.5,↓,1.0,NS,13/25,5,5
Blood,CD4_T,cancer_associated,NL→IA,NL,IA,0.02649,0.018238,-31.2,↓,0.555556,NS,13/20,5,4
Blood,CD4_T,cancer_associated,NL→AR,NL,AR,0.02649,0.021028,-20.6,↓,1.0,NS,7/15,5,3
Blood,CD4_T,cancer_associated,NL→CR,NL,CR,0.02649,0.013964,-47.3,↓,0.142857,NS,13/15,5,3
Blood,CD4_T,cancer_associated,IT→IA,IT,IA,0.021864,0.018238,-16.6,↓,0.555556,NS,13/20,5,4
Blood,CD4_T,cancer_associated,IA→AR,IA,AR,0.018238,0.021028,15.3,↑,0.628571,NS,8/12,4,3
Blood,CD4_T,cancer_associated,CR→AR,CR,AR,0.013964,0.021028,50.6,↑,0.1,NS,9/9,3,3
Blood,CD8_T,cancer_associated,NL→IT,NL,IT,0.025245,0.018173,-28.0,↓,1.0,NS,13/25,5,5
Blood,CD8_T,cancer_associated,NL→IA,NL,IA,0.025245,0.013452,-46.7,↓,0.555556,NS,13/20,5,4
Blood,CD8_T,cancer_associated,NL→AR,NL,AR,0.025245,0.012437,-50.7,↓,0.392857,NS,11/15,5,3
Blood,CD8_T,cancer_associated,NL→CR,NL,CR,0.025245,0.010074,-60.1,↓,0.392857,NS,11/15,5,3
Blood,CD8_T,cancer_associated,IT→IA,IT,IA,0.018173,0.013452,-26.0,↓,0.285714,NS,15/20,5,4
Blood,CD8_T,cancer_associated,IA→AR,IA,AR,0.013452,0.012437,-7.5,↓,1.0,NS,6/12,4,3
Blood,CD8_T,cancer_associated,CR→AR,CR,AR,0.010074,0.012437,23.5,↑,0.4,NS,7/9,3,3
Blood,NK,cancer_associated,NL→IT,NL,IT,0.003655,0.004004,9.6,↑,0.84127,NS,14/25,5,5
Blood,NK,cancer_associated,NL→IA,NL,IA,0.003655,0.007482,104.7,↑,0.111111,NS,17/20,5,4
Blood,NK,cancer_associated,NL→AR,NL,AR,0.003655,0.003961,8.4,↑,1.0,NS,8/15,5,3
Blood,NK,cancer_associated,NL→CR,NL,CR,0.003655,0.00404,10.6,↑,0.785714,NS,9/15,5,3
Blood,NK,cancer_associated,IT→IA,IT,IA,0.004004,0.007482,86.9,↑,0.111111,NS,17/20,5,4
Blood,NK,cancer_associated,IA→AR,IA,AR,0.007482,0.003961,-47.1,↓,0.228571,NS,10/12,4,3
Blood,NK,cancer_associated,CR→AR,CR,AR,0.00404,0.003961,-2.0,↓,1.0,NS,4/9,3,3
Blood,B,cancer_associated,NL→IT,NL,IT,0.01573,0.015629,-0.6,↓,1.0,NS,12/25,5,5
Blood,B,cancer_associated,NL→IA,NL,IA,0.01573,0.015388,-2.2,↓,1.0,NS,10/20,5,4
Blood,B,cancer_associated,NL→AR,NL,AR,0.01573,0.011136,-29.2,↓,0.392857,NS,11/15,5,3
Blood,B,cancer_associated,NL→CR,NL,CR,0.01573,0.011147,-29.1,↓,0.392857,NS,11/15,5,3
Blood,B,cancer_associated,IT→IA,IT,IA,0.015629,0.015388,-1.5,↓,1.0,NS,10/20,5,4
Blood,B,cancer_associated,IA→AR,IA,AR,0.015388,0.011136,-27.6,↓,0.114286,NS,11/12,4,3
Blood,B,cancer_associated,CR→AR,CR,AR,0.011147,0.011136,-0.1,↓,1.0,NS,4/9,3,3
Blood,PlasmaB,cancer_associated,NL→IT,NL,IT,0.013128,0.004434,-66.2,↓,0.440686,NS,10/25,5,5
Blood,PlasmaB,cancer_associated,NL→IA,NL,IA,0.013128,0.005355,-59.2,↓,0.708624,NS,8/20,5,4
Blood,PlasmaB,cancer_associated,NL→AR,NL,AR,0.013128,0.001801,-86.3,↓,1.0,NS,6/15,5,3
Blood,PlasmaB,cancer_associated,NL→CR,NL,CR,0.013128,0.005156,-60.7,↓,0.759982,NS,6/15,5,3
Blood,PlasmaB,cancer_associated,IT→IA,IT,IA,0.004434,0.005355,20.8,↑,0.15939,NS,16/20,5,4
Blood,PlasmaB,cancer_associated,IA→AR,IA,AR,0.005355,0.001801,-66.4,↓,0.228571,NS,10/12,4,3
Blood,PlasmaB,cancer_associated,CR→AR,CR,AR,0.005156,0.001801,-65.1,↓,0.2,NS,8/9,3,3
Blood,Myeloid,cell_cycle,NL→IT,NL,IT,0.044926,0.030944,-31.1,↓,0.063492,†,18/20,4,5
Blood,Myeloid,cell_cycle,NL→IA,NL,IA,0.044926,0.050543,12.5,↑,0.885714,NS,7/16,4,4
Blood,Myeloid,cell_cycle,NL→AR,NL,AR,0.044926,0.039145,-12.9,↓,0.857143,NS,7/12,4,3
Blood,Myeloid,cell_cycle,NL→CR,NL,CR,0.044926,0.045251,0.7,↑,0.857143,NS,5/12,4,3
Blood,Myeloid,cell_cycle,IT→IA,IT,IA,0.030944,0.050543,63.3,↑,0.730159,NS,12/20,5,4
Blood,Myeloid,cell_cycle,IA→AR,IA,AR,0.050543,0.039145,-22.6,↓,0.857143,NS,7/12,4,3
Blood,Myeloid,cell_cycle,CR→AR,CR,AR,0.045251,0.039145,-13.5,↓,0.7,NS,6/9,3,3
Blood,CD4_T,cell_cycle,NL→IT,NL,IT,0.028638,0.019809,-30.8,↓,0.420635,NS,17/25,5,5
Blood,CD4_T,cell_cycle,NL→IA,NL,IA,0.028638,0.031864,11.3,↑,0.904762,NS,11/20,5,4
Blood,CD4_T,cell_cycle,NL→AR,NL,AR,0.028638,0.02045,-28.6,↓,0.392857,NS,11/15,5,3
Blood,CD4_T,cell_cycle,NL→CR,NL,CR,0.028638,0.023899,-16.5,↓,0.785714,NS,9/15,5,3
Blood,CD4_T,cell_cycle,IT→IA,IT,IA,0.019809,0.031864,60.9,↑,0.190476,NS,16/20,5,4
Blood,CD4_T,cell_cycle,IA→AR,IA,AR,0.031864,0.02045,-35.8,↓,0.628571,NS,8/12,4,3
Blood,CD4_T,cell_cycle,CR→AR,CR,AR,0.023899,0.02045,-14.4,↓,0.7,NS,6/9,3,3
Blood,CD8_T,cell_cycle,NL→IT,NL,IT,0.02557,0.01906,-25.5,↓,0.547619,NS,16/25,5,5
Blood,CD8_T,cell_cycle,NL→IA,NL,IA,0.02557,0.026224,2.6,↑,1.0,NS,10/20,5,4
Blood,CD8_T,cell_cycle,NL→AR,NL,AR,0.02557,0.019334,-24.4,↓,0.785714,NS,9/15,5,3
Blood,CD8_T,cell_cycle,NL→CR,NL,CR,0.02557,0.026031,1.8,↑,0.785714,NS,9/15,5,3
Blood,CD8_T,cell_cycle,IT→IA,IT,IA,0.01906,0.026224,37.6,↑,0.412698,NS,14/20,5,4
Blood,CD8_T,cell_cycle,IA→AR,IA,AR,0.026224,0.019334,-26.3,↓,0.4,NS,9/12,4,3
Blood,CD8_T,cell_cycle,CR→AR,CR,AR,0.026031,0.019334,-25.7,↓,0.1,NS,9/9,3,3
Blood,NK,cell_cycle,NL→IT,NL,IT,0.029569,0.020274,-31.4,↓,0.222222,NS,19/25,5,5
Blood,NK,cell_cycle,NL→IA,NL,IA,0.029569,0.026297,-11.1,↓,0.730159,NS,12/20,5,4
Blood,NK,cell_cycle,NL→AR,NL,AR,0.029569,0.019902,-32.7,↓,0.392857,NS,11/15,5,3
Blood,NK,cell_cycle,NL→CR,NL,CR,0.029569,0.024408,-17.5,↓,0.785714,NS,9/15,5,3
Blood,NK,cell_cycle,IT→IA,IT,IA,0.020274,0.026297,29.7,↑,0.111111,NS,17/20,5,4
Blood,NK,cell_cycle,IA→AR,IA,AR,0.026297,0.019902,-24.3,↓,0.4,NS,9/12,4,3
Blood,NK,cell_cycle,CR→AR,CR,AR,0.024408,0.019902,-18.5,↓,0.1,NS,9/9,3,3
Blood,B,cell_cycle,NL→IT,NL,IT,0.039853,0.041404,3.9,↑,0.690476,NS,15/25,5,5
Blood,B,cell_cycle,NL→IA,NL,IA,0.039853,0.046873,17.6,↑,0.555556,NS,13/20,5,4
Blood,B,cell_cycle,NL→AR,NL,AR,0.039853,0.041174,3.3,↑,0.785714,NS,9/15,5,3
Blood,B,cell_cycle,NL→CR,NL,CR,0.039853,0.044834,12.5,↑,0.785714,NS,9/15,5,3
Blood,B,cell_cycle,IT→IA,IT,IA,0.041404,0.046873,13.2,↑,0.111111,NS,17/20,5,4
Blood,B,cell_cycle,IA→AR,IA,AR,0.046873,0.041174,-12.2,↓,0.228571,NS,10/12,4,3
Blood,B,cell_cycle,CR→AR,CR,AR,0.044834,0.041174,-8.2,↓,0.1,NS,9/9,3,3
Blood,PlasmaB,cell_cycle,NL→IT,NL,IT,0.083868,0.04028,-52.0,↓,0.309524,NS,18/25,5,5
Blood,PlasmaB,cell_cycle,NL→IA,NL,IA,0.083868,0.049149,-41.4,↓,0.412698,NS,14/20,5,4
Blood,PlasmaB,cell_cycle,NL→AR,NL,AR,0.083868,0.037028,-55.8,↓,0.392857,NS,11/15,5,3
Blood,PlasmaB,cell_cycle,NL→CR,NL,CR,0.083868,0.051569,-38.5,↓,0.571429,NS,10/15,5,3
Blood,PlasmaB,cell_cycle,IT→IA,IT,IA,0.04028,0.049149,22.0,↑,0.904762,NS,11/20,5,4
Blood,PlasmaB,cell_cycle,IA→AR,IA,AR,0.049149,0.037028,-24.7,↓,0.628571,NS,8/12,4,3
Blood,PlasmaB,cell_cycle,CR→AR,CR,AR,0.051569,0.037028,-28.2,↓,0.4,NS,7/9,3,3
Blood,Myeloid,checkpoint,NL→IT,NL,IT,0.018195,0.005745,-68.4,↓,0.111111,NS,17/20,4,5
Blood,Myeloid,checkpoint,NL→IA,NL,IA,0.018195,0.009897,-45.6,↓,0.485714,NS,11/16,4,4
Blood,Myeloid,checkpoint,NL→AR,NL,AR,0.018195,0.005801,-68.1,↓,0.228571,NS,10/12,4,3
