tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Blood,TFAM,B,IA→AR,IA,AR,0.31191874,0.31917226,2.299999952316284,↑,1.0,NS,6/12,4,3
Blood,TFAM,B,CR→AR,CR,AR,0.31480786,0.31917226,1.399999976158142,↑,0.7,NS,3/9,3,3
Blood,TFAM,PlasmaB,NL→IT,NL,IT,0.2571241,0.3135113,21.899999618530277,↑,0.420635,NS,17/25,5,5
Blood,TFAM,PlasmaB,NL→IA,NL,IA,0.2571241,0.2942283,14.399999618530272,↑,0.555556,NS,13/20,5,4
Blood,TFAM,PlasmaB,NL→AR,NL,AR,0.2571241,0.26958612,4.800000190734863,↑,0.785714,NS,9/15,5,3
Blood,TFAM,PlasmaB,NL→CR,NL,CR,0.2571241,0.24689846,-4.0,↓,0.571429,NS,5/15,5,3
Blood,TFAM,PlasmaB,IT→IA,IT,IA,0.3135113,0.2942283,-6.199999809265137,↓,1.0,NS,10/20,5,4
Blood,TFAM,PlasmaB,IA→AR,IA,AR,0.2942283,0.26958612,-8.399999618530273,↓,0.857143,NS,7/12,4,3
Blood,TFAM,PlasmaB,CR→AR,CR,AR,0.24689846,0.26958612,9.199999809265137,↑,1.0,NS,5/9,3,3
Blood,TGFB1,Myeloid,NL→IT,NL,IT,0.5342394,1.3656752,155.60000610351562,↑,0.007937,**,25/25,5,5
Blood,TGFB1,Myeloid,NL→IA,NL,IA,0.5342394,1.474583,176.0,↑,0.015873,*,20/20,5,4
Blood,TGFB1,Myeloid,NL→AR,NL,AR,0.5342394,1.2568628,135.3000030517578,↑,0.035714,*,15/15,5,3
Blood,TGFB1,Myeloid,NL→CR,NL,CR,0.5342394,1.1744682,119.8000030517578,↑,0.035714,*,15/15,5,3
Blood,TGFB1,Myeloid,IT→IA,IT,IA,1.3656752,1.474583,8.0,↑,0.412698,NS,14/20,5,4
Blood,TGFB1,Myeloid,IA→AR,IA,AR,1.474583,1.2568628,-14.800000190734863,↓,0.4,NS,9/12,4,3
